# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖃 U+2B583
靧	靧 𫖃
靨	靥
鞏	巩
鞝	绱
鞦	秋
鞽	鞒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖇 U+2B587
鞾	鞾 𫖇
韁	缰
韃	鞑
韆	千
韉	鞯
韋	韦
韌	韧
韍	韨
韓	韩
韙	韪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠅 U+2B805
韚	韚 𫠅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖔 U+2B594
韛	韛 𫖔
韜	韬
韝	鞲 𫖕
韞	韫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖒 U+2B592
韠	韠 𫖒
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頍	𫠆
頎	颀
頏	颃
預	预
頑	顽
頒	颁
頓	顿
頔	𬱖
頗	颇
領	领
頜	颌
頠	𬱟
頡	颉
頤	颐
頦	颏
頫	𫖯 俯
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頽	颓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩓋 U+294CB
顂	顂 𩓋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩖖 U+29596
顃	顃 𩖖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖶 U+2B5B6
顅	顅 𫖶
顆	颗
題	题
額	额
顎	颚
顏	颜
顒	颙
顓	颛
顔	颜
顗	𫖮
願	愿 𫖸
顙	颡
顛	颠
類	类
顢	颟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫖹 U+2B5B9
顣	顣 𫖹
顥	颢
顧	顾
顫	颤
顬	颥
顯	显
顰	颦
顱	颅
顳	颞
顴	颧
風	风
颭	飐
颮	飑
颯	飒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙥 U+29665
颰	颰 𩙥
颱	台
颳	刮
颶	飓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙪 U+2966A
颷	颷 𩙪
颸	飔
颺	飏 扬
颻	飖
颼	飕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩙫 U+2966B
颾	颾 𩙫
飀	飗
飄	飘
飆	飙
飈	飚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗋 U+2B5CB
飋	飋 𫗋
飛	飞
飠	饣
飢	饥
飣	饤
飥	饦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗞 U+2B5DE
飦	飦 𫗞
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飱	飧
飲	饮
飴	饴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗢 U+2B5E2
飵	飵 𫗢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗣 U+2B5E3
飶	飶 𫗣
飼	饲
飽	饱
飾	饰
飿	饳
餃	饺
餄	饸
餅	饼
餈	糍
餉	饷
養	养
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗦 U+2B5E6
餔	餔 𫗦
餕	馂
餖	饾
餗	𫗧
餘	余 馀
餚	肴
餛	馄
餜	馃
餞	饯
餡	馅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗠 U+2B5E0
餦	餦 𫗠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗪 U+2B5EA
餧	餧 𫗪
館	馆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗬 U+2B5EC
餪	餪 𫗬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗥 U+2B5E5
餫	餫 𫗥
餬	糊 𫗫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗮 U+2B5EE
餭	餭 𫗮
餱	糇 𫗯
餳	饧
餵	喂 𫗭
餶	馉
餷	馇
餸	𩠌
餺	馎
餼	饩
餾	馏
餿	馊
饁	馌
饃	馍
饅	馒
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饑	饥
饒	饶
饗	飨
饘	𫗴
饜	餍
饞	馋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗵 U+2B5F5
饟	饟 𫗵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫗩 U+2B5E9
饠	饠 𫗩
饢	馕
馬	马
馭	驭
馮	冯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘛 U+2B61B
馯	馯 𫘛
馱	驮
馳	驰
馴	驯
馹	驲
馼	𫘜
駁	驳
駃	𫘝
駉	𬳶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘟 U+2B61F
駊	駊 𫘟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧨 U+299E8
駎	駎 𩧨
駐	驻
駑	驽
駒	驹
駓	𬳵
駔	驵
駕	驾
駘	骀
駙	驸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧫 U+299EB
駚	駚 𩧫
駛	驶
駝	驼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘞 U+2B61E
駞	駞 𫘞
駟	驷
駡	骂
駢	骈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘠 U+2B620
駤	駤 𫘠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧲 U+299F2
駧	駧 𩧲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧴 U+299F4
駩	駩 𩧴
駪	𬳽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘡 U+2B621
駫	駫 𫘡
駭	骇
駰	骃
駱	骆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧺 U+299FA
駶	駶 𩧺
駸	骎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘣 U+2B623
駻	駻 𫘣
駼	𬳿
駿	骏
騁	骋
騂	骍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘤 U+2B624
騃	騃 𫘤
騄	𫘧
騅	骓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘥 U+2B625
騉	騉 𫘥
騊	𫘦
騌	骔
騍	骒
騎	骑
騏	骐
騑	𬴂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨀 U+29A00
騔	騔 𩨀
騖	骛
騙	骗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨊 U+29A0A
騚	騚 𩨊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘩 U+2B629
騜	騜 𫘩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨃 U+29A03
騝	騝 𩨃
騞	𬴃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨈 U+29A08
騟	騟 𩨈
騠	𫘨
騤	骙
騧	䯄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨄 U+29A04
騪	騪 𩨄
騫	骞
騭	骘
騮	骝
騰	腾
騱	𫘬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘫 U+2B62B
騴	騴 𫘫
騵	𫘪
騶	驺
騷	骚
騸	骟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘭 U+2B62D
騻	騻 𫘭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠋 U+2B80B
騼	騼 𫠋
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢 𩨂
驅	驱
驊	骅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩧯 U+299EF
驋	驋 𩧯
驌	骕
驍	骁
驎	𬴊
驏	骣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘯 U+2B62F
驓	驓 𫘯
驕	骄
驗	验
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘰 U+2B630
驙	驙 𫘰
驚	惊
驛	驿
驟	骤
驢	驴
驤	骧
驥	骥
驦	骦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘱 U+2B631
驨	驨 𫘱
驪	骊
驫	骉
骯	肮
髏	髅
髒	脏
體	体
髕	髌
髖	髋
髮	发
鬆	松
鬍	胡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩭹 U+29B79
鬖	鬖 𩭹
鬚	须
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫘽 U+2B63D
鬠	鬠 𫘽
鬢	鬓
鬥	斗
鬧	闹
鬨	哄
鬩	阋
鬮	阄
鬱	郁
鬹	鬶
魎	魉
魘	魇
魚	鱼
魛	鱽
魟	𫚉
魢	鱾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽹 U+29F79
魥	魥 𩽹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚌 U+2B68C
魦	魦 𫚌
魨	鲀
魯	鲁
魴	鲂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚍 U+2B68D
魵	魵 𫚍
魷	鱿
魺	鲄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠐 U+2B810
魽	魽 𫠐
鮀	𬶍
鮁	鲅
鮃	鲆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚒 U+2B692
鮄	鮄 𫚒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚑 U+2B691
鮅	鮅 𫚑
鮆	𫚖
鮈	𬶋
鮊	鲌
鮋	鲉
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮠	𬶏
鮡	𬶐
鮣	䲟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚓 U+2B693
鮤	鮤 𫚓
鮦	鲖
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚗 U+2B697
鮯	鮯 𫚗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚔 U+2B694
鮰	鮰 𫚔
鮳	鲓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚛 U+2B69B
鮵	鮵 𫚛
鮶	鲪
鮸	𩾃
鮺	鲝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚚 U+2B69A
鮿	鮿 𫚚
鯀	鲧
鯁	鲠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾁 U+29F81
鯄	鯄 𩾁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚙 U+2B699
鯆	鯆 𫚙
鯇	鲩
鯉	鲤
鯊	鲨
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚡 U+2B6A1
鯞	鯞 𫚡
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚞 U+2B69E
鯬	鯬 𫚞
鯰	鲶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩾇 U+29F87
鯱	鯱 𩾇
鯴	鲺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩽼 U+29F7C
鯶	鯶 𩽼
鯷	鳀
鯻	𬶟
鯽	鲫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚣 U+2B6A3
鯾	鯾 𫚣
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰈	鲽
鰉	鳇
鰊	𬶠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚢 U+2B6A2
鰋	鰋 𫚢
鰌	䲡
鰍	鳅
鰏	鲾
鰐	鳄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚊 U+2B68A
鰑	鰑 𫚊
鰒	鳆
鰓	鳃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚥 U+2B6A5
鰕	鰕 𫚥
鰛	鳁
鰜	鳒
鰟	鳑
鰠	鳋
鰣	鲥
鰤	𫚕
鰥	鳏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚤 U+2B6A4
鰦	鰦 𫚤
鰧	䲢
鰨	鳎
鰩	鳐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚦 U+2B6A6
鰫	鰫 𫚦
鰭	鳍
鰮	鳁
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰶	𬶭
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚧 U+2B6A7
鰽	鰽 𫚧
鰾	鳔
鱀	𬶨
鱂	鳉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚋 U+2B68B
鱄	鱄 𫚋
鱅	鳙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠒 U+2B812
鱆	鱆 𫠒
鱇	𩾌
鱈	鳕
鱉	鳖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚪 U+2B6AA
鱊	鱊 𫚪
鱒	鳟
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鱚	𬶮
鱝	鲼
鱟	鲎
鱠	鲙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚫 U+2B6AB
鱢	鱢 𫚫
鱣	鳣
鱤	鳡
鱧	鳢
鱨	鲿
鱭	鲚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫚈 U+2B688
鱮	鱮 𫚈
鱯	鳠
鱲	𫚭
鱷	鳄
鱸	鲈
鱺	鲡
鳥	鸟
鳧	凫
鳩	鸠
鳬	凫
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛛 U+2B6DB
鳷	鳷 𫛛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉃 U+2A243
鳼	鳼 𪉃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛚 U+2B6DA
鳽	鳽 𫛚
鳾	䴓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛜 U+2B6DC
鴀	鴀 𫛜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛞 U+2B6DE
鴃	鴃 𫛞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛝 U+2B6DD
鴅	鴅 𫛝
鴆	鸩
鴇	鸨
鴉	鸦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛤 U+2B6E4
鴐	鴐 𫛤
鴒	鸰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛡 U+2B6E1
鴔	鴔 𫛡
鴕	鸵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫁡 U+2B061
鴗	鴗 𫁡
鴛	鸳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉈 U+2A248
鴜	鴜 𪉈
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛣 U+2B6E3
鴥	鴥 𫛣
鴦	鸯
鴨	鸭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛦 U+2B6E6
鴮	鴮 𫛦
鴯	鸸
鴰	鸹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉆 U+2A246
鴲	鴲 𪉆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛩 U+2B6E9
鴳	鴳 𫛩
鴴	鸻
鴷	䴕
鴻	鸿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛪 U+2B6EA
鴽	鴽 𫛪
鴿	鸽
鵁	䴔
鵂	鸺
鵃	鸼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛥 U+2B6E5
鵊	鵊 𫛥
鵏	𬷕
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉍 U+2A24D
鵚	鵚 𪉍
鵜	鹈
鵝	鹅
鵟	𫛭
鵠	鹄
鵡	鹉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛨 U+2B6E8
鵧	鵧 𫛨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛳 U+2B6F3
鵩	鵩 𫛳
鵪	鹌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛱 U+2B6F1
鵫	鵫 𫛱
鵬	鹏
鵮	鹐
鵯	鹎
鵰	雕 𫛲
鵲	鹊
鵷	鹓
鵾	鹍
鶄	䴖
鶇	鸫
鶉	鹑
鶊	鹒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛵 U+2B6F5
鶌	鶌 𫛵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛶 U+2B6F6
鶒	鶒 𫛶
鶓	鹋
鶖	鹙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛸 U+2B6F8
鶗	鶗 𫛸
鶘	鹕
鶚	鹗
鶠	𬸘
鶡	鹖
鶥	鹛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛷 U+2B6F7
鶦	鶦 𫛷
鶩	鹜
鶪	䴗
鶬	鸧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛯 U+2B6EF
鶭	鶭 𫛯
鶯	莺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛫 U+2B6EB
鶰	鶰 𫛫
鶱	𬸣
鶲	鹟
鶴	鹤
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鶿	鹚
鷀	鹚
鷁	鹢
鷂	鹞
鷄	鸡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛽 U+2B6FD
鷅	鷅 𫛽
鷉	䴘
鷊	鹝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜀 U+2B700
鷐	鷐 𫜀
鷓	鹧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉑 U+2A251
鷔	鷔 𪉑
鷖	鹥
鷗	鸥
鷙	鸷
鷚	鹨
鷟	𬸦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜃 U+2B703
鷣	鷣 𫜃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛴 U+2B6F4
鷤	鷤 𫛴
鷥	鸶
鷦	鹪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪉊 U+2A24A
鷨	鷨 𪉊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜁 U+2B701
鷩	鷩 𫜁
鷫	鹔
鷭	𬸪
鷯	鹩
鷲	鹫
鷳	鹇
鷴	鹇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜄 U+2B704
鷷	鷷 𫜄
鷸	鹬
鷹	鹰
鷺	鹭
鷽	鸴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𬸯 U+2CE2F
鷿	鷿 𬸯
鸂	㶉
鸇	鹯
鸊	䴙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛢 U+2B6E2
鸋	鸋 𫛢
鸌	鹱
鸏	鹲
鸑	𬸚
鸕	鸬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫛟 U+2B6DF
鸗	鸗 𫛟
鸘	鹴
鸚	鹦
鸛	鹳
鸝	鹂
鸞	鸾
鹵	卤
鹹	咸
鹺	鹾
鹼	碱
鹽	盐
麗	丽
麥	麦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪎊 U+2A38A
麨	麨 𪎊
麩	麸
麪	面 麺
麫	面
麬	𤿲
麯	曲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪎉 U+2A389
麲	麲 𪎉
麳	𪎌
麴	曲 麹
麵	面 麺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜑 U+2B711
麷	麷 𫜑
麼	么 麽
麽	么 麽
黃	黄
黌	黉
點	点
黨	党
黲	黪
黴	霉
黶	黡
黷	黩
黽	黾
黿	鼋
鼂	鼌
鼉	鼍
鼕	冬
鼴	鼹
齊	齐
齋	斋
齎	赍
齏	齑
齒	齿
齔	龀
齕	龁
齗	龂
齘	𬹼
齙	龅
齜	龇
齟	龃
齠	龆
齡	龄
齣	出
齦	龈
齧	啮 𫜩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜪 U+2B72A
齩	齩 𫜪
齪	龊
齬	龉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜭 U+2B72D
齭	齭 𫜭
齮	𬺈
齯	𫠜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜬 U+2B72C
齰	齰 𫜬
齲	龋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜮 U+2B72E
齴	齴 𫜮
齶	腭
齷	龌
齼	𬺓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜰 U+2B730
齾	齾 𫜰
龍	龙
龎	厐
龐	庞
龑	䶮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫜲 U+2B732
龓	龓 𫜲
龔	龚
龕	龛
龜	龟
龢	龢 和
# @tofu-risk: not covered by PingFang/Source Han baseline: 𩨎 U+29A0E
龭	龭 𩨎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱆 U+28C46
龯	龯 𨱆
鿁	䜤
鿓	鿒
𠁞	𠀾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠆿 U+201BF
𠌥	𠌥 𠆿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠉗 U+20257
𠏢	𠏢 𠉗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝋 U+2B74B
𠐊	𠐊 𫝋
𠗣	㓆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠛆 U+206C6
𠞆	𠞆 𠛆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠚳 U+206B3
𠠎	𠠎 𠚳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠡 U+2A821
𠬙	𠬙 𪠡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫪄 U+2BA84
𠼤	𠼤 𫪄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪠺 U+2A83A
𠽃	𠽃 𪠺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪜎 U+2A70E
𠿕	𠿕 𪜎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢒 U+2A892
𡂡	𡂡 𪢒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪡺 U+2A87A
𡃄	𡃄 𪡺
𡃕	𠴛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢐 U+2A890
𡃤	𡃤 𪢐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠴢 U+20D22
𡄔	𡄔 𠴢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𠵸 U+20D78
𡄣	𡄣 𠵸
𡅏	𠲥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪢖 U+2A896
𡅯	𡅯 𪢖
𡑍	𫭼
𡑭	𡋗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪤄 U+2A904
𡓁	𡓁 𪤄
𡓾	𡋀
𡔖	𡍣
𡞵	㛟
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝪 U+2B76A
𡟫	𡟫 𫝪
𡠹	㛿
𡢃	㛠
𡮉	𡭜
𡮣	𡭬
𡳳	𡳃
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪨩 U+2AA29
𡸗	𡸗 𪨩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪨹 U+2AA39
𡹬	𡹬 𪨹
𡻕	岁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𡸃 U+21E03
𡽗	𡽗 𡸃
𡾱	㟜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪩛 U+2AA5B
𡿖	𡿖 𪩛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪪴 U+2AAB4
𢍰	𢍰 𪪴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢙑 U+22651
𢠼	𢠼 𢙑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪬚 U+2AB1A
𢣐	𢣐 𪬚
𢣚	𢘝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢘞 U+2261E
𢣭	𢣭 𢘞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪫡 U+2AAE1
𢤩	𢤩 𪫡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢘙 U+22619
𢤱	𢤱 𢘙
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪬯 U+2AB2F
𢤿	𢤿 𪬯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭝 U+2AB5D
𢯷	𢯷 𪭝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪭯 U+2AB6F
𢶒	𢶒 𪭯
𢶫	𢫞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢫊 U+22ACA
𢷮	𢷮 𢫊
𢹿	𢬦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪮳 U+2ABB3
𢺳	𢺳 𪮳
𣈶	暅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣈣 U+23223
𣋋	𣋋 𣈣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫧃 U+2B9C3
𣍐	𣍐 𫧃
𣙎	㭣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪳗 U+2ACD7
𣜬	𣜬 𪳗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣘷 U+23637
𣝕	𣝕 𣘷
𣞻	𣘓
𣠩	𣞎
𣠲	𣑶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣯣 U+23BE3
𣯩	𣯩 𣯣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣭤 U+23B64
𣯴	𣯴 𣭤
𣯶	毶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪶮 U+2ADAE
𣽏	𣽏 𪶮
𣾷	㳢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𣶫 U+23DAB
𣿉	𣿉 𣶫
𤁣	𣺽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪶒 U+2AD92
𤄷	𤄷 𪶒
𤅶	𣷷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤎻 U+243BB
𤑳	𤑳 𤎻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪹀 U+2AE40
𤑹	𤑹 𪹀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤊀 U+24280
𤒎	𤒎 𤊀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪹹 U+2AE79
𤒻	𤒻 𪹹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪹠 U+2AE60
𤓌	𤓌 𪹠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤎺 U+243BA
𤓎	𤓎 𤎺
𤓩	𤊰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺣 U+2AEA3
𤘀	𤘀 𪺣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤙯 U+2466F
𤛮	𤛮 𤙯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞢 U+2B7A2
𤛱	𤛱 𫞢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺪 U+2AEAA
𤜆	𤜆 𪺪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪺸 U+2AEB8
𤠮	𤠮 𪺸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𤝢 U+24762
𤢟	𤢟 𤝢
# @tofu-risk: not covered by PingFang/Source Han baseline: 𢢐 U+22890
𤢻	𤢻 𢢐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫞧 U+2B7A7
